pano_id,lat,lng
J52ZXa_jSmPwCOFvOcce0Q,28.599083861386735,-81.20530840140005
H3hkgrSnmyEm_0lSk3Ziyw,28.5989407650209,-81.20457053357387
0w--l_orwbG3H6uOwzm3tg,28.598022934963147,-81.19831367684377
YB7jll15fABmVTLU4JSDeA,28.60348270231628,-81.2010497579958
livAxSKlP2lyRp0jkuOQnQ,28.600040988560696,-81.20256187646234
VyrE9SMMH3JtqLeGgKYC4Q,28.600636982897914,-81.19818897852704
YSyDw8iON3HS-hqsbcq7uQ,28.602382085532756,-81.19835891461913
t6xoHdOpbEpkD3k4m6nHeA,28.59987481595521,-81.2024090179624
PnBl6ue3zuHiI8-Kt97pEA,28.6045700984604,-81.20512006752713
JMIq5GhVUnFwuJLjloXjGA,28.59950567252915,-81.19921094384733
Kj8_-cFf1YB3QTWeHDKYBw,28.60541943188353,-81.19822202402094
0h23BUnXyxql7VSdTTHHsg,28.601903267414325,-81.20226835088059
KBIbYtYl5d3igVHC6HLIdQ,28.602505489335563,-81.19895919553666
ni4yHBm0blqOoR_Dy1edDw,28.603700116847307,-81.20558039169858
EVZ3dwrfrjElI9pgKW8YJg,28.602674972954933,-81.20172014200433
2qt1I3osv1AY0IbS3lPOBA,28.599526359816725,-81.2044138955046
iTgQhoDZHtlBJLaq5LaV6w,28.600323110462305,-81.19998316870156
Eju4TjvzyUAwDIkxSAoCBg,28.598754997469555,-81.20172510280756
Ncg09D3z-VX6jvCrnHoQ8A,28.598575933982712,-81.19805259214114
YFVA-eC2ND2O5Eaq4QgLEA,28.603571042933766,-81.19942552626426
KIPwmB0uOGns0OO4jIlmFg,28.602971541961164,-81.2038980722489
UeeImQ2RmmtKYaOXgftxQw,28.60511248548352,-81.20227776793169
5uw-5Ca1UEyptbKGVaU7lw,28.599015415159027,-81.20034405337576
4CIHj0lYymmF2ua_9yOd4g,28.597591804786514,-81.19966869652967
rp4QK-mg33HcNDPP7psRlA,28.59869383584345,-81.1989008409351
DGa5TfK-LOC9KvtM62uHHg,28.599944054175623,-81.20378044556841
Q28vfuWgqcsBXUj0twVDvQ,28.599936839647082,-81.20048026756434
hKvXPI86j-0PtADz5nfAmw,28.59662591046467,-81.19909894369786
SHrrzpvK6NmuYWnH5yCZiQ,28.600544939856256,-81.19874780704511
hc67c_KkrHD44Wqqz_tc5w,28.601634157335074,-81.1978391831224
TjaD9yWHKt_NfCUfKpfsyw,28.600518657138306,-81.19948530989609
mOzM0wao2frDvvvE6CG67g,28.60064887836214,-81.20374345072135
u6A3qg48bfrnNAtKBh4aPg,28.597929949217747,-81.20239043613299
5HtY54wiSIqSPwuU_e9F9Q,28.606179363801473,-81.19935523208966
zYN5Em7ja74tyCb7kLM9mw,28.60134826120445,-81.19860553570716
9JQ6V0dQlkkgkjXcuweAVQ,28.600013036333884,-81.20176285535058
bb1WceLhdkVLycAAqo8Paw,28.597211273901916,-81.20159275855836
ha-TVMbChJWQeVFVXHZVsg,28.598769562256745,-81.20607207374675
hLlA-YmKA7gL-n-zFRjqGg,28.603419180877783,-81.20275038471424
zAir_He9gi_FGzN_sorkng,28.603822185357192,-81.19819982552278
vVHgKgXp3b_vYZ5iF_cRZg,28.605584027376665,-81.20201097906751
NjfmYRbTcvnLQ4bDDiGzyQ,28.599220812549657,-81.20627646391246
qIppAd9EyCGQwlz8Gp270g,28.596939061551325,-81.19960630644442
Lgp7y_Y-Oi35uDdrTMtrBw,28.6046444185495,-81.20343841071814
fA7HSx728LG7yJF8DAQqbw,28.597889249284,-81.20742426736263
Tq7F8o2gVWMwFiReMoRsHw,28.603290488894537,-81.20223690464806
ybcZL244WqBLhLIFgcS7ZA,28.601364675061134,-81.19560533226624
JnjoAjZ-PyByxh1ENHCm-A,28.603896667996505,-81.19571346941831
FFaqSs_x3ZFismCI4eN5xQ,28.59737581160072,-81.20072662965539
nGqSD_UD5VTBnHyFrdVoGQ,28.605895246834468,-81.2007297407075
XYn3p8_WIDenhhP0xKDMnA,28.59634564864769,-81.19862201632468
nZKa-dFbFSVMb0Laybsx7g,28.604550523915783,-81.20343134803569
elJrOYn5vhDH1av202oZog,28.601262948579578,-81.19433172425869
RN7SNOGD6XWuuQOHh8f0HQ,28.60138815566035,-81.20617162048471
RxXKpcn1_8Yo7Ukeq3-VyQ,28.597466643694872,-81.20378918980242
hCzob4IzSh5SIFawmBOCxw,28.601621191374715,-81.19577031283745
TmoaOJwu2T2AizaD4SttzA,28.60166105742028,-81.20468454369248
_2NLhwmilToKVCgI_C2FMQ,28.602572126981407,-81.1946468067028
ar4BnPRP6ZuMskVrdK_iyA,28.604817338463818,-81.20582160887996
02zuXGC_1s47IhdfP9aE0Q,28.599134932398808,-81.20306795533978
bcXqYAWTN2d7hX8zLR2Rrg,28.60494611794748,-81.20427651112948
VLpOQdKvsTlGu6UtDYQfaQ,28.603377888566452,-81.20057082464241
yLpd3S1VuqR7cNEjfrsT2A,28.597327469976477,-81.19863841285395
2EHz7LE7zfcnyuoYkhaGdQ,28.605479390686884,-81.20305786574501
DkhXJ6cTb1W5fbmU9PMxzQ,28.60135990813829,-81.19642072976319
anV59SXZiDzlLbIkVwutEw,28.604539083689048,-81.19921994084932
